Grupo de Anúncios,URL Final,Correspondência,Palavra-chave
Grupo 3 — Relatórios Mensais,https://www.spacecworp.com.br/index.html#recursos,Exata,[resumo automático de despesas no app]
Grupo 4 — Orçamento e Alertas,https://www.spacecworp.com.br/index.html#recursos,Ampla,definir orçamento com alerta
Grupo 4 — Orçamento e Alertas,https://www.spacecworp.com.br/index.html#recursos,Ampla,limite de gastos com aviso automático
Grupo 4 — Orçamento e Alertas,https://www.spacecworp.com.br/index.html#recursos,Frase,"app de orçamento com alerta automático"
Grupo 4 — Orçamento e Alertas,https://www.spacecworp.com.br/index.html#recursos,Frase,"receber aviso antes de estourar orçamento"
Grupo 4 — Orçamento e Alertas,https://www.spacecworp.com.br/index.html#recursos,Exata,[alerta antes de estourar o orçamento]
Grupo 4 — Orçamento e Alertas,https://www.spacecworp.com.br/index.html#recursos,Exata,[app orçamento com aviso automático]
Grupo 5 — Pix Real / BR Code,https://www.spacecworp.com.br/index.html#recursos,Ampla,pagamento pix br code
Grupo 5 — Pix Real / BR Code,https://www.spacecworp.com.br/index.html#recursos,Ampla,qr code pix padrão banco central
Grupo 5 — Pix Real / BR Code,https://www.spacecworp.com.br/index.html#recursos,Frase,"gerar qr code pix real"
Grupo 5 — Pix Real / BR Code,https://www.spacecworp.com.br/index.html#recursos,Frase,"copia e cola pix no app"
Grupo 5 — Pix Real / BR Code,https://www.spacecworp.com.br/index.html#recursos,Exata,[pix real com qr code oficial]
Grupo 5 — Pix Real / BR Code,https://www.spacecworp.com.br/index.html#recursos,Exata,[app com pix br code e crc16]
Grupo 6 — Leitura Automática de Comprovante (OCR/IA),https://www.spacecworp.com.br/index.html#recursos,Ampla,ocr para comprovante de pix
Grupo 6 — Leitura Automática de Comprovante (OCR/IA),https://www.spacecworp.com.br/index.html#recursos,Ampla,leitura automática de comprovante pix
Grupo 6 — Leitura Automática de Comprovante (OCR/IA),https://www.spacecworp.com.br/index.html#recursos,Frase,"app que confere comprovante de pix"
Grupo 6 — Leitura Automática de Comprovante (OCR/IA),https://www.spacecworp.com.br/index.html#recursos,Frase,"ia lê comprovante de pix automaticamente"
Grupo 6 — Leitura Automática de Comprovante (OCR/IA),https://www.spacecworp.com.br/index.html#recursos,Exata,[ocr confere valor e recebedor do pix]
Grupo 6 — Leitura Automática de Comprovante (OCR/IA),https://www.spacecworp.com.br/index.html#recursos,Exata,[leitura automática de comprovante por ia]
Grupo 7 — Equipe Multiusuário,https://www.spacecworp.com.br/index.html#recursos,Ampla,app financeiro para equipe
Grupo 7 — Equipe Multiusuário,https://www.spacecworp.com.br/index.html#recursos,Ampla,convidar familiares painel financeiro
Grupo 7 — Equipe Multiusuário,https://www.spacecworp.com.br/index.html#recursos,Frase,"lançar despesas no mesmo painel"
Grupo 7 — Equipe Multiusuário,https://www.spacecworp.com.br/index.html#recursos,Frase,"app financeiro para família e amigos"
Grupo 7 — Equipe Multiusuário,https://www.spacecworp.com.br/index.html#recursos,Exata,[convidar equipe para painel de despesas]
Grupo 7 — Equipe Multiusuário,https://www.spacecworp.com.br/index.html#recursos,Exata,[app financeiro multiusuário]
Grupo 8 — Planos Free e Premium,https://www.spacecworp.com.br/index.html#planos,Ampla,plano grátis de controle financeiro
Grupo 8 — Planos Free e Premium,https://www.spacecworp.com.br/index.html#planos,Ampla,app financeiro premium mensal
Grupo 8 — Planos Free e Premium,https://www.spacecworp.com.br/index.html#planos,Frase,"6 despesas grátis por dia no app"
Grupo 8 — Planos Free e Premium,https://www.spacecworp.com.br/index.html#planos,Frase,"premium com despesas ilimitadas"
Grupo 8 — Planos Free e Premium,https://www.spacecworp.com.br/index.html#planos,Exata,[app financeiro grátis 6 despesas por dia]
Grupo 8 — Planos Free e Premium,https://www.spacecworp.com.br/index.html#planos,Exata,[premium r$19,99 despesas ilimitadas]
Grupo 9 — Criar Conta / Como Funciona,https://www.spacecworp.com.br/login.html,Ampla,criar conta financeira grátis
Grupo 9 — Criar Conta / Como Funciona,https://www.spacecworp.com.br/login.html,Ampla,app financeiro sem cartão de crédito
Grupo 9 — Criar Conta / Como Funciona,https://www.spacecworp.com.br/login.html,Frase,"criar conta em menos de um minuto"
Grupo 9 — Criar Conta / Como Funciona,https://www.spacecworp.com.br/login.html,Frase,"começar a controlar gastos em 3 passos"
Grupo 9 — Criar Conta / Como Funciona,https://www.spacecworp.com.br/login.html,Exata,[criar conta grátis sem cartão de crédito]
Grupo 9 — Criar Conta / Como Funciona,https://www.spacecworp.com.br/login.html,Exata,[app financeiro comece em 3 passos]
